<<<<<<< HEAD
1|2025-05-23 14:30:01|카레|6000|0
2|2025-05-23 14:31:12|김치알밥|5000|0
3|2025-05-23 14:32:05|제육덮밥|4500|0
4|2025-05-23 14:33:20|돈가스|4000|71
5|2025-06-01 07:12:20|육회비빔밥|5000|0
6|2025-06-04 01:13:47|김치볶음밥|7000|0
7|2025-06-04 23:46:21|쟁반수육|5500|7
8|2025-06-04 23:46:47|콩국수|5000|0
9|2025-06-04 23:47:03|최루탄라면|3500|36
10|2025-06-04 23:53:18|만두라면|4000|36
11|2025-06-05 01:35:47|라면|3000|32
12|2025-06-05 04:34:35|test|100|0
13|2025-06-05 04:35:17|test1|100|0
14|2025-06-07 19:18:19|adsf|100|0
=======
1|2025-05-23 14:30:01|카레|6000|60
2|2025-05-23 14:31:12|김치알밥|5000|5
3|2025-05-23 14:32:05|제육덮밥|4500|25
4|2025-05-23 14:33:20|돈가스|4000|80
5|2025-06-01 07:12:20|육회비빔밥|5000|0
6|2025-06-04 01:13:47|김치볶음밥|7000|5
7|2025-06-04 23:46:21|쟁반수육|5500|15
8|2025-06-04 23:46:47|콩국수|5000|10
9|2025-06-04 23:47:03|최루탄라면|3500|40
10|2025-06-04 23:53:18|만두라면|4000|40
11|2025-06-05 01:35:47|라면|3000|35
>>>>>>> 2c62f65070c8c2760842537edd0b9c5c75902a67
